system_id,segment,taxon,study,doi,evidence_tier,controller_architecture,n_events,n_individuals,phase_error_definition,speed_gain_log_per_day,speed_gain_se,speed_gain_p,stopover_slope_day_per_phase_day,stopover_slope_se,stopover_slope_p,stopover_gain,phase_transfer_lambda,phase_transfer_se,phase_transfer_p_vs_no_correction_one,correction_fraction,environment_source,environment_calibration,status,phase_retention_abs,controller_stability_class
mule_deer_ortega_2023,full spring migration,Odocoileus hemionus,Ortega et al. 2023,10.1038/s41467-023-37750-z,B,MIXED_SPEED_STOPOVER,152,72,days from peak IRG at migration start,0.018298898,0.001222619,1.21e-50,-0.4919,0.039,6.07e-37,0.4919,0.10734,0.050,,0.89266,official Nature Communications source-data annual green-wave propagation,official source-data reconstruction,DIRECT_CONTROLLER,0.107340000,STABLE_CONTRACTION
barnacle_goose_svalbard_R2_R4,southern Norway to Svalbard,Branta leucopsis,Kölzsch et al. 2015,10.1111/1365-2656.12281,A,STEP_STOPOVER_OVERTAKE,16,15,arrival/departure day minus local GDD-jerk onset,0.015316103,0.019039183,0.421136,-0.588995506,0.087602740,1.774e-11,0.588995506,-0.106320907,0.259474379,2.011e-5,1.106320907,public Movebank GPS + NASA POWER annual anomalies,article/figure mean anchors with +/-5d Norway sensitivity,DIRECT_CONTROLLER,0.106320907,STABLE_OVERSHOOT
barnacle_goose_greenland_R2_R3,Iceland/Greenland route R2 to R3,Branta leucopsis,Kölzsch et al. 2015,10.1111/1365-2656.12281,A,STEP_STOPOVER,6,6,arrival day minus local spring-onset anomaly coordinate,,,,-0.524174470,0.100303334,0.003393266,0.524174470,0.130730883,0.082843693,9.314e-26,0.869269117,public Movebank GPS + NASA POWER annual GDD-jerk anomalies,anchor-invariant fixed-transition slope,DIRECT_CONTROLLER_FLYWAY_REPLICATION,0.130730883,STABLE_CONTRACTION
barnacle_goose_barents_R1_R2,Wadden/Central Europe to Baltic route R1 to R2,Branta leucopsis,Kölzsch et al. 2015,10.1111/1365-2656.12281,A,STEP_STOPOVER,12,8,arrival day minus local spring-onset anomaly coordinate,,,,-0.591451262,0.109142874,0.000988111,0.591451262,0.494113942,0.129352858,9.195e-05,0.505886058,public Movebank GPS + NASA POWER annual GDD-jerk anomalies,anchor-invariant fixed-transition slope,DIRECT_CONTROLLER_FLYWAY_REPLICATION,0.494113942,STABLE_CONTRACTION
