candidate_id	marker	pacbio_marker_coverage_pct	pacbio_core_coverage_pct	bgi_mean_depth	bgi_core_panel_median_depth	bgi_normalized_ratio
WT_ancestor	SCO7662	100	100	100.081	192.147	0.520856427631
WT_ancestor	SCO7350	100	100	76.8906	192.147	0.40016549829
WT_ancestor	SCO7036	100	100	95.1667	192.147	0.49528069655
WT_ancestor	SCO3879	100	100	288.26	192.147	1.50020557178
M1_T0	SCO7662	0	100	0	196.203	0
M1_T0	SCO7350	0	100	0.0835422	196.203	0.000425794712619
M1_T0	SCO7036	100	100	106.64	196.203	0.543518702568
M1_T0	SCO3879	100	100	280.406	196.203	1.42916265297
M2_T0	SCO7662	0	100	0	204.082	0
M2_T0	SCO7350	0	100	0.167084	204.082	0.000818710126322
M2_T0	SCO7036	100	100	129.974	204.082	0.636871453631
M2_T0	SCO3879	100	100	292.503	204.082	1.43326212013
M3_T0	SCO7662	0	100	0.0152672	202.435	7.54177884259e-05
M3_T0	SCO7350	0	100	0.0960735	202.435	0.000474589374367
M3_T0	SCO7036	100	100	208.119	202.435	1.02807814854
M3_T0	SCO3879	100	100	313.319	202.435	1.54775112999
M4_T0	SCO7662	0	100	0	247.466	0
M4_T0	SCO7350	0	100	0	247.466	0
M4_T0	SCO7036	100	100	254.985	247.466	1.03038397194
M4_T0	SCO3879	100	100	311.058	247.466	1.25697267503
M6_T0	SCO7662	0	100	0	195.966	0
M6_T0	SCO7350	0	100	0	195.966	0
M6_T0	SCO7036	100	100	300.636	195.966	1.53412326628
M6_T0	SCO3879	100	100	201.599	195.966	1.02874478226
